id,common_name,scientific_name,category,description,habitat,population_estimate,endangerment_status,created_at,size_from,size_to,colors
49,Wolf,Canis lupus,Säugetier,"Der Wolf ist ein Raubtier, das in Deutschland vor allem in ländlichen Gebieten und Wäldern lebt.","ländliche Gebiete, Wälder",ca. 1000-1500,Stark gefährdet,2024-05-21 13:26:36.073816,60,90,gray
25,Rotwild,Cervus elaphus,Säugetier,Der Rothirsch ist das größte wildlebende Säugetier Europas und bewohnt vor allem Wälder und offene Landschaften.,"Wälder, offene Landschaften",300.000-400.000,Nicht gefährdet,2024-05-21 13:16:42.655563,160,210,brown
47,Maulwurf,Talpa europaea,Säugetier,"Der Maulwurf ist ein grabendes Säugetier, das in Gärten, Feldern und Wäldern lebt und sich von Insekten ernährt.","Gärten, Felder, Wälder",keine genauen Daten,Nicht gefährdet,2024-05-21 13:16:42.655563,12,15,black
41,Wildkatze,Felis silvestris,Säugetier,"Die Wildkatze ist ein scheues Raubtier, das vor allem Wälder und ländliche Gebiete bewohnt.","Wälder, ländliche Gebiete",ca. 5.000-7.000,Stark gefährdet,2024-05-21 13:16:42.655563,45,80,gray
56,Wechselkröte,Bufotes viridis,Amphibie,Die Wechselkröte ist eine grünliche Krötenart mit glatter Haut und lebt häufig in ländlichen Gebieten und Gärten.,"Ländliche Gebiete, Gärten",keine genauen Daten,Nicht gefährdet,2024-05-21 13:26:36.073816,4,7,"brown,green"
29,Reh,Capreolus capreolus,Säugetier,"Das Reh ist ein scheues Tier, das vor allem Wälder und Waldränder bewohnt.","Wälder, Waldränder",ca. 1 Million,Nicht gefährdet,2024-05-21 13:16:42.655563,60,100,brown
43,Nutria,Myocastor coypus,Säugetier,"Das Nutria, auch Biberratte genannt, ist ein Nagetier, das in Gewässernähe lebt und sich von Pflanzen ernährt.",Gewässernähe,keine genauen Daten,Nicht gefährdet,2024-05-21 13:16:42.655563,30,60,brown
51,Moorfrosch,Rana arvalis,Amphibie,Der Moorfrosch ist an Feuchtgebiete wie Moore und Sümpfe gebunden und weist eine dunklere Färbung auf als der Grasfrosch.,"Moore, Sümpfe",keine genauen Daten,Stark gefährdet,2024-05-21 13:26:36.073816,4,7,"brown,blue"
31,Mauswiesel,Mustela nivalis,Säugetier,"Das Mauswiesel ist ein geschickter Jäger, der vor allem in Wäldern und Feldern zu finden ist.","Wälder, Felder",ca. 500.000,Nicht gefährdet,2024-05-21 13:16:42.655563,15,25,"brown,white"
37,Feldmaus,Microtus arvalis,Säugetier,Die Feldmaus ist ein Pflanzenfresser und bewohnt vor allem Wiesen und Felder.,"Wiesen, Felder",ca. 1 Million,Nicht gefährdet,2024-05-21 13:16:42.655563,7,12,brown
35,Feldhamster,Cricetus cricetus,Säugetier,"Der Feldhamster ist ein nachtaktiver Pflanzenfresser, der vor allem in offenen Landschaften und Feldern zu finden ist.","offene Landschaften, Felder",weniger als 1.000,Stark gefährdet,2024-05-21 13:16:42.655563,20,35,"brown,white"
36,Biber,Castor fiber,Säugetier,Der Biber ist ein geschickter Baumeister und bewohnt vor allem Flussufer und Seen.,"Flussufer, Seen",ca. 20.000,Nicht gefährdet,2024-05-21 13:16:42.655563,80,130,brown
40,Fischotter,Lutra lutra,Säugetier,Der Fischotter ist ein geschickter Schwimmer und bewohnt vor allem Flüsse und Seen.,"Flüsse, Seen",ca. 5.000-10.000,Stark gefährdet,2024-05-21 13:16:42.655563,100,130,brown
46,Siebenschläfer,Glis glis,Säugetier,"Der Siebenschläfer ist ein nachtaktives Nagetier, das in Wäldern lebt und sich von Pflanzen und Insekten ernährt.",Wälder,keine genauen Daten,Nicht gefährdet,2024-05-21 13:16:42.655563,15,20,"brown,gray"
39,Braunbär,Ursus arctos,Säugetier,"Der Braunbär ist ein großes Raubtier, das in Europa vor allem in abgelegenen Wäldern vorkommt.",Wälder,keine genauen Daten,Stark gefährdet,2024-05-21 13:16:42.655563,140,280,brown
30,Igel,Erinaceus europaeus,Säugetier,"Der Igel ist ein nachtaktiver Insektenfresser, der in Gärten, Parks und Wäldern zu finden ist.","Gärten, Parks, Wälder",ca. 1 Million,Nicht gefährdet,2024-05-21 13:16:42.655563,15,30,brown
44,Bisamratte,Ondatra zibethicus,Säugetier,"Die Bisamratte ist ein semi-aquatisches Nagetier, das in Gewässernähe lebt und sich von Pflanzen ernährt.",Gewässernähe,keine genauen Daten,Nicht gefährdet,2024-05-21 13:16:42.655563,30,40,brown
27,Feldhase,Lepus europaeus,Säugetier,"Der Feldhase ist ein nachtaktiver Pflanzenfresser, der Wiesen und Felder bewohnt.","Wiesen, Felder",ca. 3 Millionen,Nicht gefährdet,2024-05-21 13:16:42.655563,40,70,brown
75,Blindschleiche,Anguis fragilis,Reptil,Die Blindschleiche ist eine schlangenähnliche Echse ohne Beine und bevorzugt feuchte Lebensräume wie Wälder und Gärten.,"Wälder, Gärten",keine genauen Daten,Nicht gefährdet,2024-05-21 13:30:14.956394,30,50,brown
64,Gelbbauchunke,Bombina variegata,Amphibie,Die Gelbbauchunke hat einen gelben Bauch und bewohnt ähnliche Lebensräume wie die Rotbauchunke.,"Feuchtwiesen, Auen",keine genauen Daten,Stark gefährdet,2024-05-21 13:26:36.073816,3,5,"brown, yellow"
72,Mauereidechse,Podarcis muralis,Reptil,"Die Mauereidechse ist eine in Deutschland eingeführte Art, die vor allem an sonnigen Felsen und Mauern anzutreffen ist.","Felsen, Mauern",keine genauen Daten,Nicht gefährdet,2024-05-21 13:30:14.956394,15,20,brown
55,Kreuzkröte,Epidalea calamita,Amphibie,"Die Kreuzkröte hat einen auffälligen, kreuzförmigen Fleck auf dem Rücken und bevorzugt trockene Lebensräume wie Heiden und Sandgebiete.","Heiden, Sandgebiete",keine genauen Daten,Stark gefährdet,2024-05-21 13:26:36.073816,4,6,brown
63,Rotbauchunke,Bombina bombina,Amphibie,Die Rotbauchunke hat einen auffälligen roten Bauch und bevorzugt feuchte Lebensräume wie Auen und Tümpel.,"Feuchtwiesen, Auen",keine genauen Daten,Stark gefährdet,2024-05-21 13:26:36.073816,3,5,"orange,brown"
66,Laubfrosch,Hyla arborea,Amphibie,Der Laubfrosch hat eine grüne Farbe und bevorzugt feuchte Lebensräume wie Wälder und Gewässer.,"Feuchtwälder, Teiche",keine genauen Daten,Gefährdet,2024-05-21 13:26:36.073816,3,5,green
77,Alpendohle,Pyrrhocorax graculus,Vogel,"Alpendohlen sind wohl besonders Bergwanderern bekannt, da sie nur im Winter in die tieferen Bergregionen kommen. Normalerweise recht unscheinbar, fallen sie durch ihre waghalsigen Flugmanöver auf. Dennoch würden die meisten ihnen keine weitere Aufmerksamkeit schenken, wenn sie nicht gezielt Gipfelstationen und andere touristische Sammelpunkte aufsuchen würden, um ein bisschen was vom Proviant abzustauben.",Alpen,550-1.100 Brutpaare,Extrem selten,2024-05-22 10:49:24.080623,37,41,black
69,Kreuzotter,Vipera berus,Reptil,"Die Kreuzotter ist die einzige giftige Schlange Deutschlands und bevorzugt Lebensräume wie Moore, Heiden und Waldränder.","Moore, Heiden, Waldränder",keine genauen Daten,Stark gefährdet,2024-05-21 13:30:14.956394,50,70,"red,brown,black"
65,Geburtshelferkröte,Alytes obstetricans,Amphibie,"Die Geburtshelferkröte hat die Fähigkeit, die Larven im Körper auszubrüten und ist nachtaktiv.","Wälder, Gebüsche",keine genauen Daten,Stark gefährdet,2024-05-21 13:26:36.073816,4,5,gray
61,Feuersalamander,Salamandra salamandra,Amphibie,Der Feuersalamander hat eine auffällige schwarz-gelbe Färbung und bevorzugt feuchte Wälder und Gewässer.,"Feuchtwälder, Bäche",keine genauen Daten,Gefährdet,2024-05-21 13:26:36.073816,12,20,"black, yellow"
74,Schlingnatter,Coronella austriaca,Reptil,"Die Schlingnatter ist eine ungiftige Schlange, die vor allem in warmen, trockenen Lebensräumen anzutreffen ist und sich von kleinen Wirbeltieren ernährt.","Trockenrasen, Heiden",keine genauen Daten,Nicht gefährdet,2024-05-21 13:30:14.956394,50,80,brown
68,Ringelnatter,Natrix natrix,Reptil,"Die Ringelnatter ist eine nicht giftige Schlange, die in verschiedenen Lebensräumen wie Feuchtgebieten, Wäldern und Gärten vorkommt.","Feuchtgebiete, Wälder, Gärten",keine genauen Daten,Nicht gefährdet,2024-05-21 13:30:14.956394,60,100,"gray,black"
71,Zauneidechse,Lacerta agilis,Reptil,Die Zauneidechse ist eine weit verbreitete Eidechsenart in Deutschland und bevorzugt sonnige Lebensräume wie Trockenrasen und Heiden.,"Trockenrasen, Heiden",keine genauen Daten,Gefährdet,2024-05-21 13:30:14.956394,15,20,"brown, green"
60,Bergmolch,Ichthyosaura alpestris,Amphibie,Der Alpenmolch ist eine Unterart des Bergmolchs und kommt in den Alpenregionen vor.,Alpenregionen,keine genauen Daten,Nicht gefährdet,2024-05-21 13:26:36.073816,6,10,"black,brown,orange"
81,Amsel,Turdus merula,Vogel,"Die Amsel ist einer unserer bekanntesten Vögel. Das typische Konzert gehört zum lauen Sommerabend einfach dazu, wie auch ihr Warnruf, wenn sich eine Katze anschleicht. Nachdem sie ihre Scheu vorm Menschen Überwunden hat, ist die Amsel heute aus unseren Gärten, Parks und Städten nicht mehr wegzudenken.","Wälder, Siedlungen, Parks, Gärten",7.900.000-9.550.000 Brutpaare,Nicht gefährdet,2024-05-22 10:49:24.080623,23,29,"black,brown"
70,Aspisviper,Vipera aspis,Reptil,"Die Aspisviper ist eine giftige Schlange, die vor allem in den Alpenregionen vorkommt und eine ähnliche Lebensweise wie die Kreuzotter hat.",Alpenregionen,keine genauen Daten,Stark gefährdet,2024-05-21 13:30:14.956394,50,70,"black,brown"
82,Auerhuhn,Tetrao urogallus,Vogel,"Dem scheuen Auerhuhn begegnet man nur Äußerst selten in der Natur. Zum einen ist es gegenüber dem Menschen sehr störungsempfindlich, zum anderen ist seine Population in den letzten Jahrhunderten extrem geschrumpft und nun in Deutschland vom Aussterben bedroht. Trotzdem hat wahrscheinlich jeder schon mal einen balzenden Auerhahn gesehen, sei es auf einem Gemälde oder in den Sissi-Filmen.",Nadelwälder in Bergregionen,750-1.000 Brutpaare,Vom Aussterben bedroht,2024-05-22 10:49:24.080623,60,87,"black,brown,green"
59,Kammmolch,Triturus cristatus,Amphibie,Der Kammmolch ist die größte Molchart in Deutschland und ist für seinen gezackten Schwanzkamm bekannt.,"Teiche, langsam fließende Gewässer",keine genauen Daten,Stark gefährdet,2024-05-21 13:26:36.073816,8,12,brown
62,Alpensalamander,Salamandra atra,Amphibie,Der Alpensalamander ist in den Alpenregionen verbreitet und hat eine einheitlich schwarze Färbung.,Alpenregionen,keine genauen Daten,Nicht gefährdet,2024-05-21 13:26:36.073816,10,15,black
87,Basstölpel,Morus bassanus,Vogel,Basstölpel sind außergewöhnlich gute Flieger und Taucher. Auch aufgrund ihrer Größe und Färbung fallen sie auf. In Deutschland brüten sie nur auf Helgoland und das schon seit 1991. Diese hübschen Meeresvögel können dort jedes Jahr in ihren Brutkolonien beobachtet werden.,Steilküsten,780 Brutpaare,Extrem selten,2024-05-22 10:49:24.080623,85,97,"white,orange"
84,Bachstelze,Motacilla alba,Vogel,"kleine schwarz-weiße Bachstelze mit dem wippenden Schwanz begegnet uns bei fast jedem Ausflug ins Grüne. Wo ein Gewässer in der Nähe ist, ist die Bachstelze nicht weit. Aber wichtiger noch sind ihr ausreichend dichtes Gebüsch oder andere versteckte Orte für ihr Nest. Manche können sich sogar an einem Nest mit Bachstelzennachwuchs am Haus erfreuen. Bachstelzen sind in ganz Deutschland verbreitet.","offene Kulturlandschaften, Felder, Gebirgslandschaften, Salzmarsche",475.000-680.000 Brutpaare,Nicht gefährdet,2024-05-22 10:49:24.080623,16,19,"gray,black,white"
88,Baumfalke,Falco subbuteo,Vogel,"Baumfalken sind nach dem Turmfalken die häufigste Falkenart in Deutschland. Sie sind Zugvögel, die den Winter in Afrika verbringen. Ihre schnelle Flugweise und ihre Gestalt im Flug sind charakteristische Merkmale. Darüber hinaus tragen sie eine rötliche „Hose“, welche sie leicht erkennbar macht. Sie sind in verschiedenen Habitaten beheimatet und bevorzugen strukturreiche Gegenden",diverse strukturreiche Landschaften,5.000-7.000 Brutpaare,Gefährdet,2024-05-22 10:49:24.080623,29,36,"white,black"
90,Bekassine,Gallinago gallinago,Vogel,"Die Bekassine ist ein in Deutschland vor allem im Norden relativ weit verbreiteter Schnepfenvogel, der jedoch auffällig seltener wird. Markant ist ihr sehr langer, gerader Schnabel und die häufig geduckte Körperhaltung. Ihr Gefieder ist überwiegend braun gemustert, was ihr die perfekte Tarnung in dichter, niedriger Vegetation verschafft. Auffallend sind jedoch die hellen Streifen, die vom Kopf über die gesamte Oberseite verlaufen. Sie brütet vor allem in Feuchtwiesen, Sümpfen und Mooren.","Feuchtwiesen, Moore, Sümpfe",2.900-4.500 Brutpaare,Vom Aussterben bedroht,2024-05-22 10:49:24.080623,23,28,brown
91,Bergente,Aythya marila,Vogel,"Die Bergente kann schnell mit der Reiherente verwechselt werden, sie ist bei uns aber nur im Winter zu Gast. Ihr fehlt zudem der Schopf am Hinterkopf. Allerdings gibt es auch Hybriden aus Bergenten und Reiherenten. Da wird der Besuch am winterlichen Ententeich schnell zu einem lustigen Rätselraten.","Meeresküsten, Boddengewässer, Seen in der Tundra",0-2 Brutpaare,Extrem selten,2024-05-22 10:49:24.080623,42,51,"green,black,white,brown"
102,Blaukehlchen,Luscinia svecica,Vogel,"Das Blaukehlchen macht seinem Namen alle Ehre: Die leuchtend blaue Kehle des Männchens ist unverkennbar. Ihn zu entdecken, ist aber nicht einfach, denn er lebt meist versteckt im Gebüsch. Begradigte und befestigte Flüsse sowie die Abtorfung unserer Moore haben das Blaukehlchen zudem selten werden lassen. Glücklicherweise erholt sich der Bestand seit den 1970er Jahren wieder.",Schilfgebiete mit Wiedengebüsch an Gewässern,12.000-21.000 Brutpaare,Nicht gefährdet,2024-05-22 10:49:24.080623,13,14,"brown,orange,blue"
93,Berghänfling,Linaria flavirostris,Vogel,Der Berghänfling bewohnt im Sommer die skandinavischen Küstengebiete und kommt nur im Winter zu uns. Dann lässt er sich regelmäßig an der Nord- und Ostseeküste blicken. Interessanterweise ist der kleine Bewohner sonst menschenarmer Gebiete im Winter auch gerne in Städten unterwegs und sucht sich dort an Häuserfassaden trockene Plätze zum Übernachten.,"Moore, Heideflächen, Salzwiesen, Felder in Küstnennähe",0,Gefährdet,2024-05-22 10:49:24.080623,13,14,brown
104,Bluthänfling,Linaria cannabina,Vogel,"Rosarot leuchtet die Brust des Männchens, wenn es im Frühling von exponierter Warte aus seinen Balzgesang zwitschert. Die meisten werden ihn schon einmal gesehen haben, da er in Deutschland überall heimisch ist. Auch wenn er ganz nach Finkenart wellenförmig über uns dahinfliegt, ist er an seiner roten Brust oft gut zu erkennen.","offene Gelände mit Busch- und Strauchbestand, Obstgärten, Parks, Küstenheide und Weinhänge",110.000-205.000 Brutpaare,Gefährdet,2024-05-22 10:49:24.080623,12,14,"red,brown,gray"
100,Blässgans,Anser albifrons,Vogel,Die Blässgans aus dem hohen Norden ist nur als Rastvogel vor allem im Herbst und im Winter bei uns zu Gast. Sie ist dann auf dem Durchzug oder bleibt in milden Wintern auch bei uns im Norden Deutschlands. Man sieht sie meistens in langen Ketten am Himmel ziehen oder in Gruppen auf Wiesen und Feldern fressen.,Winterfelder in Küstnennähe doer bei Flussniederungen,420.000 Wintergäste,Nicht gefährdet,2024-05-22 10:49:24.080623,64,78,"gray,white"
101,Blässhuhn,Fulica atra,Vogel,Auf allen Süßgewässern ruft das Blässhuhn uns sein lautes „tück“ entgegen. Besonders im Frühjahr zur Balzzeit macht es durch heftige Revierkämpfe auf sich aufmerksam. Der schwarze Wasservogel mit der auffälligen Blässe und den langen Zehen gehört zu den Rallen und ist somit näher mit Kranichen verwandt als mit Hühnern.,"Seen, Sumpfland, Flüsse, Kanäle und Teiche",61.000-105.000 Brutpaare,Nicht gefährdet,2024-05-22 10:49:24.080623,36,42,"black,white"
83,Austernfischer,Haematopus ostralegus,Vogel,"Das Äußere des Austernfischers ist unverwechselbar: die roten Beine, ein langer roter Schnabel und die roten Augen machen ihn einzigartig. Das Gefieder ist kontrastreich schwarz und weiß gefärbt. In Deutschland brütet er vor allem an den Küsten und entlang der Flüsse auch im Binnenland. Der lange und gerade Schnabel ist perfekt dafür geeignet, im Schlamm und Schlick nach Würmern zu stochern. Häufig wird man durch seinen lauten Flugruf, der wie kiwiep klingt, auf ihn aufmerksam.","Küsten, Feuchtwiesen",21.000-27.000 Brutpaare,Nicht gefährdet,2024-05-22 10:49:24.080623,39,44,"black,white"
86,Bartmeise,Panurus biarmicus,Vogel,"Eigentlich ist die Bartmeise am nächsten mit den Lerchen verwandt, ähnelt aber äußerlich eher den Meisen. Neben dem langen Schwanz ist das auffällgste und namensgebende Merkmal der schwarze „Bart“ am sonst grau gefärbten Kopf des Männchens. Das Brutgebiet der Bartmeise ist stark aufgesplittert, der Schwerpunkt liegt bei uns jedoch im Norden Deutschlands. Sie lebt ausschließlich im dichten Schilf ausgedehnter Schilfflächen.","dichte, ausgedehnte Schilfgebiete",4.100-8.000 Brutpaare,Nicht gefährdet,2024-05-22 10:49:24.080623,14,15.5,"orange,gray"
97,Bienenfresser,Merops apiaster,Vogel,"Die Farbenpracht des Bienenfressers wirkt exotisch, denn kaum ein Brutvogel hat bei uns ein so buntes Gefieder. Sein Brutvorkommen ist jedoch sehr zersplittert: Es gibt nur wenige Brutpaare, die meist in warmen Regionen in Rheinland-Pfalz, am Kaiserstuhl in Baden-Württemberg und in Sachsen-Anhalt brüten. Der Bienenfresser jagt nicht nur Bienen, sondern auch andere fliegende Insekten. Zum Überwintern zieht er in den Süden Afrikas.",Kies- und Sandgruben,2.000-2.300 Brutpaare,Nicht gefährdet,2024-05-22 10:49:24.080623,25,29,"orange,green,yellow"
96,Beutelmeise,Remiz pendulinus,Vogel,"Das Nest der Beutelmeise ist ein kleines Meisterwerk: An einem herabhängenden Zweig einer Birke, Erle oder Weide baut sie ein flauschiges, beutelartiges Nest aus verschiedenen Naturmaterialien wie Bastfasern, Tierhaaren oder Samenhaaren von Pappeln oder Weiden. Abgesehen von der Einschlupfröhre ist dieser Beutel fast komplett geschlossen. Meist brütet sie in der Nähe von Flüssen, Seen oder Sumpfgebieten.","Gewässer, Sumpfgebiete",1.700-3.000 Brutpaare,Vom Aussterben bedroht,2024-05-22 10:49:24.080623,10,11.5,"brown,gray,black"
98,Birkenzeisig," Carduelis flammea",Vogel,"Den kleinen runden Zeisig mit der flammend roten Zeichnung trifft man bei uns in zwei verschiedenen Unterarten an. Der Taigabirkenzeisig ist nur im Winter zu Gast, während der Alpenbirkenzeisig bei uns in Teilen Deutschlands ganzjährig zu sehen ist. Da der rote Stirnfleck auch im Winter zu sehen ist, kann man ihn immer gut erkennen.","Wälder, Birken-, Erlen- und Weidenbrüche, Gärten und Parks",8.500-14.000 Brutpaare,Nicht gefährdet,2024-05-22 10:49:24.080623,12,14,"gray,red,white"
99,Birkhuhn,Lyrurus tetrix,Vogel,"Das Birkhuhn war einst ein weit verbreiteter Brutvogel auf Höhen zwischen circa 1500 und 2200 Metern. Heute sind die Populationen in weiten Teilen des Landes aufgrund verschiedener Faktoren wie zum Beispiel dem Tourismus stark bedroht oder ausgestorben. Das sehr markante Erscheinungsbild des Männchens macht es fast unverwechselbar. Es hat eine gewisse Ähnlichkeit mit dem Auerhahn, der aber größer ist. Die balzenden Hähne kann man oft schon aus einiger Entfernung hören.","halboffenen, strukturreichen Landschaften der subalpinen und alpinen Stufe, Moorlandschaften",850-1.300 Brutpaare,Stark gefährdet,2024-05-22 10:49:24.080623,40,55,"black,white,red"
103,Blaumeise,Cyanistes caeruleus,Vogel,"Die Blaumeise ist wohl jedem schon mal begegnet. Sie ist auch in unseren Gärten zu Gast, sobald dort ein paar ältere Bäume stehen. Außerdem hält sie sich gerne in Scharen an Futterplätzen auf. Man kann bei ihnen sogar eine regelrechte Routine beobachten, bei der die Tageszeit und die Abfolge der Futterstellen in etwa gleich bleiben. Am Futterhäuschen fallen Blaumeisen oft durch ein freches Verhalten auf und geraten hin und wieder in kleine Streitereien mit anderen Vogelarten.","Laub-, Mischwälder, Parks und Gärten",3.250.000-4.800.000 Brutpaare,Nicht gefährdet,2024-05-22 10:49:24.080623,11.5,11.5,"blue,white,yellow"
199,Küstenseeschwalbe,Sterna paradisaea,Vogel,,"Meeresküsten, Sand- und Kiesstrände, breite Flussmündungen und das Watt",3.300 Brutpaare,Vom Aussterben bedroht,2024-06-13 17:51:28.112196,33,39,"white,gray,black"
200,Kurzschnabelgans,Anser brachyrhynchus,Vogel,,"Wiesen, beweidete Flächen und an Flüssen",150 Wintergäste,Stark gefährdet,2024-06-13 17:51:28.112196,64,76,"brown,white,gray"
207,Mauerläufer,Tichodroma muraria,Vogel,,"kareg, unwirtschafliche Gegenden mit vielen Felsen, hauptsächlich im Alpenraum",80-120 Brutpaare,Extrem selten,2024-06-13 17:51:28.112196,15.5,17,"gray,black,red"
208,Mauersegler,Apus apus,Vogel,,"Städte, Dörfer, Waldgebiete und Steinbrüche",185.000-345.000 Brutpaare,Nicht gefährdet,2024-06-13 17:51:28.112196,17,18.5,brown
107,Brandgans,Tadorna tadorna,Vogel,"Nicht Gans, nicht Ente – zu welcher Familie die Brandgans oder auch Brandente nun gehört, ist einfach nicht genau zu sagen. Sie weist Merkmale beider Gruppen auf und zählt darum zu den Halbgänsen. Man trifft sie bei uns überwiegend an den Küsten an, im Norden, aber auch im Binnenland. Die hübsche, auffällig gezeichnete Brandgans hält sich zur Mauser im Sommer gern im Wattenmeer auf. Zu der Zeit kann sie nicht fliegen und bewegt sich schwimmend fort.","in Küstennähe, Binnengewässer, Flussmündungen und Feuchtgebiete",6.500-7.500 Brutpaare,Nicht gefährdet,2024-05-22 10:49:24.080623,55,65,"white,brown,green,red"
113,Buntspecht,Dendrocopos major,Vogel,"Übersetzt man seinen wissenschaftlichen Namen, so müsste der Buntspecht eigentlich „großer Baumhämmerer“ heißen. Und das nicht zu unrecht: Sein schnelles Trommeln ist meist über weite Strecken zu hören. Er ist größer als der Klein- oder der Mittelspecht, seine schwarz-weiß-roten „kleinen Brüder“. Der Buntspecht ist in deutschen Wäldern flächendeckend verbreitet, und gibt es einen Park mit ein paar älteren Bäumen, findet man ihn auch in der Großstadt.","Laub- und Nadelwälder, Parks, Gärten und Feldgehölze",830.000-1.100.000 Brutpaare,Nicht gefährdet,2024-05-22 10:49:24.080623,23,26,"black,white,red"
114,Dohle,Coloeus monedula,Vogel,"Dohlen sind mit die putzigsten unter den Rabenvögeln. Neben der kleinen kompakten Gestalt sind sie auch in ihrer Art sehr drollig. Wenn sie ihre Scheu vor Menschen verloren haben, können manche sogar richtig frech werden. Zudem sind sie sehr neugierig und lieben alles, was glänzt und glitzert. Das Stiebitzen ist eine der Lieblingsbeschäftigungen von Dohlen.","Städte, Dörfer, Agrarlandschaften, Gebäude, lichter Wald",83.000-140.000 Brutpaare,Nicht gefährdet,2024-05-23 15:44:04.695499,30,34,black
54,Knoblauchkröte,Pelobates fuscus,Amphibie,Die Knoblauchkröte ist nachtaktiv und verbringt den Tag meist versteckt unter Steinen oder in Erdlöchern. Ihr Rücken ist mit einer warzigen Haut bedeckt.,"Sandige Böden, Heidelandschaften",keine genauen Daten,Stark gefährdet,2024-05-21 13:26:36.073816,6,10,"brown,gray"
95,Bergpieper,Anthus spinoletta,Vogel,"Wer nahe der Alpen lebt, hat ihn bestimmt schon zu Gesicht bekommen. Der etwas größere Bergpieper hat sich die Gebirge als Lebensraum ausgesucht. Mit dem Strandpieper ist er nah verwandt und könnte mit ihm verwechselt werden. Früher wurden sie mit dem Pazifikpieper als Wasserpieper zusammengefasst. Allerdings unterscheiden sie sich stark in der Wahl ihres Lebensraumes.",Gebirgsplateaus,900-1.800 Brutpaare,Nicht gefährdet,2024-05-22 10:49:24.080623,16,17,brown
115,Dorngrasmücke,Sylvia communis,Vogel,"Von der Spitze von Dornsträuchern oder Hochstauden kann man den kratzigen Gesang des braun-grauen Singvogels hören. Noch gibt es in Deutschland mehr als eine halbe Million Reviere der Dorngrasmücke, doch ihr Lebensraum und ihre Nahrungsgrundlage sind vor allem durch die intensive Landwirtschaft und die Flächenversieglung bedroht. Auch ihr Überwinterungsquartier in Afrika ist durch Dürren in Gefahr.","offene und halboffene Berieche mit einzelnen Büschen, Dornensträucher",600.000-950.000 Brutpaare,Nicht gefährdet,2024-05-23 15:44:04.695499,13,15,brown
